cargo,org_politica,persona_juridica,fin_departamento,fin_municipio,campana,tipo,cont_n_contratista,cont_tot_contratista,aportes_n,aportes_tot,aportes_cand_n
NA,NA,Persona Natural,LA GUAJIRA,BARRANCAS,Regionales 2015,Financiador,3,81933333,1,9e6,1
NA,NA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Financiador,2,245e5,1,5e6,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,5,3225e4,1,3e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,SURATA,Regionales 2015,Candidato|Financiador,3,6108e4,1,1e5,1
Asamblea,CENTRO DEMOCRATICO,Persona Natural,SANTANDER,FLORIDABLANCA,Regionales 2015,Candidato|Financiador,4,31e6,1,93e5,1
Alcaldía,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,MOLAGAVITA,Regionales 2015,Candidato|Financiador,2,11976276,1,109e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,CIMITARRA,Regionales 2015,Candidato|Financiador,8,305e5,1,14e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,7,829e5,1,33e5,1
Concejo,MOVIMIENTO MIRA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,4,1005e5,4,759500,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,11,1038829936,3,8e7,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,7,37622e3,1,565e3,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,SANTANDER,GIRON,Regionales 2015,Candidato|Financiador,2,4025e4,1,336010,1
NA,NA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Financiador,7,1029e5,1,249e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,4,37637e3,1,6e4,1
NA,NA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Financiador,4,533e5,1,7e6,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,BOYACA,DUITAMA,Regionales 2015,Candidato|Financiador,2,31641126,1,6435079,1
Concejo,MOVIMIENTO MIRA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,3,18e6,3,629500,1
Asamblea,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,5,473e5,1,3e6,1
NA,NA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Financiador,2,18e6,1,99e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,4,30233333,1,6371102,1
Concejo,MOVIMIENTO MIRA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,3,18e6,3,1111750,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,7,3656e4,1,2e5,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,3,189e5,1,2e5,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,SANTANDER,CALIFORNIA,Regionales 2015,Candidato|Financiador,7,3375e4,1,1e6,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,SANTANDER,SAN GIL,Regionales 2015,Candidato|Financiador,3,284e5,1,38e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,GUACA,Regionales 2015,Candidato|Financiador,2,916e4,1,1915600,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Candidato|Financiador,2,10059802,2,2425805,1
Concejo,PARTIDO POLO DEMOCRATICO ALTERNATIVO,Persona Natural,SANTANDER,BARBOSA,Regionales 2015,Candidato|Financiador,8,44533342,1,118e4,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,BARBOSA,Regionales 2015,Candidato|Financiador,7,116696e3,1,2e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,BARBOSA,Regionales 2015,Candidato|Financiador,3,51861342,1,12e4,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,SANTANDER,BARBOSA,Regionales 2015,Candidato|Financiador,2,2096e4,1,1e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,BARBOSA,Regionales 2015,Candidato|Financiador,3,29833197,1,12e4,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,BOYACA,SAN JOSE DE PARE,Regionales 2015,Candidato|Financiador,6,36946e3,1,2e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,GAMBITA,Regionales 2015,Candidato|Financiador,2,2e7,1,19e4,1
Alcaldía,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,LEBRIJA,Regionales 2015,Candidato|Financiador,2,475e5,1,6e6,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,BETULIA,Regionales 2015,Candidato|Financiador,4,42363333,1,8e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,LEBRIJA,Regionales 2015,Candidato|Financiador,2,20933333,1,19e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,LEBRIJA,Regionales 2015,Candidato|Financiador,2,1581e4,1,1e6,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,BETULIA,Regionales 2015,Candidato|Financiador,3,36433333,1,2e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,LANDAZURI,Regionales 2015,Candidato|Financiador,2,142e5,1,126e4,1
Concejo,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,Persona Natural,SANTANDER,CIMITARRA,Regionales 2015,Candidato|Financiador,6,3897e4,1,782183,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,CIMITARRA,Regionales 2015,Candidato|Financiador,5,164e5,1,299200,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,CIMITARRA,Regionales 2015,Candidato|Financiador,6,34e6,1,215e3,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,CIMITARRA,Regionales 2015,Candidato|Financiador,2,32978e3,1,25e4,1
NA,NA,Persona Natural,CORDOBA,CANALETE,Regionales 2015,Financiador,4,665e5,1,1e6,1
Alcaldía,LIBERAL-CONSERVADOR,Persona Natural,CORDOBA,CANALETE,Regionales 2015,Candidato|Financiador,3,100666666,1,6e7,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SANTANDER,CARCASI,Regionales 2015,Candidato|Financiador,3,11e6,1,25e3,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SUCRE,BUENAVISTA,Regionales 2015,Candidato|Financiador,2,81e5,1,5e6,1
NA,NA,Persona Natural,PUTUMAYO,PUERTO ASIS,Regionales 2015,Financiador,31,205659781,1,5e6,1
NA,NA,Persona Natural,CORDOBA,MONTERIA,Regionales 2015,Financiador,2,497e5,1,5e6,1
Asamblea,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CORDOBA,MONTERIA,Regionales 2015,Candidato|Financiador,20,302605465,1,5e7,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SANTANDER,MOGOTES,Regionales 2015,Candidato|Financiador,2,46765761,1,35e4,1
NA,NA,Persona Natural,CORDOBA,SAN CARLOS,Regionales 2015,Financiador,3,9842e4,1,3e7,1
NA,NA,Persona Natural,CORDOBA,PUEBLO NUEVO,Regionales 2015,Financiador,13,19529e4,1,5e6,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,CORDOBA,MONTERIA,Regionales 2015,Candidato|Financiador,2,495e5,1,5e6,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CORDOBA,LORICA,Regionales 2015,Candidato|Financiador,2,46344e3,1,2e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SUCRE,SINCE,Regionales 2015,Candidato|Financiador,4,17e6,1,5e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CORDOBA,MONTERIA,Regionales 2015,Candidato|Financiador,3,25392843,1,4741e4,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,SAN JOSE DE MIRANDA,Regionales 2015,Candidato|Financiador,2,7e6,1,156e3,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SUCRE,MORROA,Regionales 2015,Candidato|Financiador,2,12e6,2,6e6,1
Concejo,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,Persona Natural,SANTANDER,RIONEGRO,Regionales 2015,Candidato|Financiador,2,96e5,1,481749,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,SAN GIL,Regionales 2015,Candidato|Financiador,4,32006e3,1,448e3,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,SAN GIL,Regionales 2015,Candidato|Financiador,2,2692e4,1,2728158,1
NA,NA,Persona Natural,SANTANDER,BARICHARA,Regionales 2015,Financiador,3,148e5,3,15e5,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SANTANDER,SAN GIL,Regionales 2015,Candidato|Financiador,3,1698e4,1,6785100,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,VALLE DE SAN JOSE,Regionales 2015,Candidato|Financiador,3,1523e4,1,2e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,VALLE DE SAN JOSE,Regionales 2015,Candidato|Financiador,4,40815390,1,99e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,JORDAN,Regionales 2015,Candidato|Financiador,4,4636e4,2,16e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,PALMAR,Regionales 2015,Candidato|Financiador,2,7750302,1,15e4,1
Alcaldía,ASI-CONSERVADOR,Persona Natural,SANTANDER,SABANA DE TORRES,Regionales 2015,Candidato|Financiador,4,5022e4,1,15e6,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,SANTANDER,SABANA DE TORRES,Regionales 2015,Candidato|Financiador,2,22e5,1,108e4,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,SUCRE,GUARANDA,Regionales 2015,Candidato|Financiador,3,75e5,2,17e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SUCRE,GUARANDA,Regionales 2015,Candidato|Financiador,4,145e5,1,16e5,1
NA,NA,Persona Natural,SUCRE,SAN ONOFRE,Regionales 2015,Financiador,3,78189333,1,3e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,SAN ANDRES,Regionales 2015,Candidato|Financiador,3,20063307,1,1e5,1
Alcaldía,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SANTANDER,SOCORRO,Regionales 2015|Congreso 2018,Candidato|Financiador,3,2212e4,3,27154e3,2
NA,NA,Persona Natural,SANTANDER,BUCARAMANGA,Regionales 2015,Financiador,2,15e6,1,332e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SANTANDER,JORDAN,Regionales 2015,Candidato|Financiador,4,50364e3,2,14e4,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,SOCORRO,Regionales 2015,Candidato|Financiador,2,325e5,1,2273e3,1
Concejo,MOVIMIENTO MIRA,Persona Natural,BOYACA,TUNJA,Regionales 2015,Candidato|Financiador,2,132e5,1,14e4,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,VELEZ,Regionales 2015,Candidato|Financiador,4,14287228,3,205e4,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SUCRE,OVEJAS,Regionales 2015,Candidato|Financiador,3,1035e4,1,2e6,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SANTANDER,PARAMO,Regionales 2015,Candidato|Financiador,3,121e5,1,5e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,SAN MIGUEL,Regionales 2015,Candidato|Financiador,2,8622220,1,5e4,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,SAN MIGUEL,Regionales 2015,Candidato|Financiador,3,26872e3,1,2e5,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,3,171e5,1,8e6,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,RIONEGRO,Regionales 2015,Candidato|Financiador,4,176e5,1,2e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,6,373e5,1,2460800,1
Cámara de Representantes,ALTERNATIVA SANTANDEREANA AS,Persona Natural,SANTANDER,PIEDECUESTA,Congreso 2018,Candidato|Financiador,3,258e5,4,10214063,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,2,16942800,2,1872916,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,PIEDECUESTA,Regionales 2015,Candidato|Financiador,2,135e5,1,28e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,SANTANDER,SAN VICENTE DE CHUCURI,Regionales 2015,Candidato|Financiador,3,39783334,1,2e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,SAN VICENTE DE CHUCURI,Regionales 2015,Candidato|Financiador,2,22247744,1,5e4,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SANTANDER,SAN VICENTE DE CHUCURI,Regionales 2015,Candidato|Financiador,3,145e5,1,1304500,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,SANTANDER,SAN VICENTE DE CHUCURI,Regionales 2015,Candidato|Financiador,3,3672e4,1,2e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Candidato|Financiador,6,2784839200,1,301e5,1
NA,NA,Persona Natural,SUCRE,TOLUVIEJO,Regionales 2015,Financiador,2,323e5,1,8e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SUCRE,OVEJAS,Regionales 2015,Candidato|Financiador,3,1863e4,1,19e5,1
NA,NA,Persona Natural,ANTIOQUIA,MEDELLIN,Regionales 2015,Financiador,2,53241910,1,5e6,1
NA,NA,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Financiador,4,79304021,1,1e7,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,BOLIVAR,MAGANGUE,Regionales 2015,Candidato|Financiador,5,68470192,1,5e6,1
NA,NA,Persona Natural,SUCRE,COLOSO (RICAURTE),Regionales 2015,Financiador,4,13594e4,1,1e7,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SUCRE,TOLUVIEJO,Regionales 2015,Candidato|Financiador,4,8927e4,1,18e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Candidato|Financiador,5,548e5,1,13e6,1
Asamblea,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Candidato|Financiador,3,47982901,1,560565,1
NA,NA,Persona Natural,SUCRE,SINCELEJO,Congreso 2018,Financiador,6,31587e3,3,11e5,3
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Candidato|Financiador,2,218e5,1,6e6,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SUCRE,SINCELEJO,Regionales 2015,Candidato|Financiador,3,25465800,1,6e5,1
NA,NA,Persona Natural,SUCRE,COROZAL,Regionales 2015,Financiador,6,30612738,1,3775e3,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,SUCRE,LOS PALMITOS,Regionales 2015,Candidato|Financiador,2,4533600,1,6e5,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,OCAMONTE,Regionales 2015,Candidato|Financiador,2,29975e3,2,348e3,1
NA,NA,Persona Natural,CORDOBA,LORICA,Regionales 2015,Financiador,5,987078839,1,3e6,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,CORDOBA,MOÑITOS,Regionales 2015,Candidato|Financiador,7,94073400,1,2935e3,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,CORDOBA,LORICA,Regionales 2015,Candidato|Financiador,2,31076e3,1,4e6,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,BOLIVAR,CARTAGENA,Regionales 2015,Candidato|Financiador,8,202946666,1,62e6,1
Asamblea,PARTIDO LIBERAL COLOMBIANO,Persona Natural,BOLIVAR,CARTAGENA,Regionales 2015,Candidato|Financiador,2,72e5,1,2e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,OIBA,Regionales 2015,Candidato|Financiador,8,73770400,1,5e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SUCRE,CAIMITO,Regionales 2015,Candidato|Financiador,3,26265e3,1,1e5,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,SUCRE,CAIMITO,Regionales 2015,Candidato|Financiador,2,1561e3,1,5e5,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,SANTANDER,SAN JOAQUIN,Regionales 2015,Candidato|Financiador,5,24501553,1,15e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,SAN JOAQUIN,Regionales 2015,Candidato|Financiador,2,72e5,1,15e4,1
NA,NA,Persona Natural,SUCRE,MAJAGUAL,Regionales 2015,Financiador,9,142916997,1,132e5,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SUCRE,MAJAGUAL,Regionales 2015,Candidato|Financiador,6,1129e4,1,6e5,1
Asamblea,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SUCRE,SAN MARCOS,Regionales 2015,Candidato|Financiador,2,47097e3,1,25e6,1
NA,NA,Persona Natural,SUCRE,SAN MARCOS,Regionales 2015,Financiador,3,2434e4,1,5e6,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SUCRE,SAN MARCOS,Regionales 2015,Candidato|Financiador,3,9e6,1,216e4,1
NA,NA,Persona Natural,TOLIMA,HERVEO,Regionales 2015,Financiador,4,27375e3,1,5e6,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,2,58244301,1,1e6,1
Concejo,PARTIDO UNION PATRIOTICA UP,Persona Natural,TOLIMA,LIBANO,Regionales 2015,Candidato|Financiador,3,39129297,1,286e3,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,TOLIMA,LIBANO,Regionales 2015,Candidato|Financiador,4,38677806,1,1691500,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SUCRE,LA UNION,Regionales 2015,Candidato|Financiador,2,178e5,1,2751e3,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SUCRE,LA UNION,Regionales 2015,Candidato|Financiador,5,73307675,1,52e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,VALLE,LA UNION,Regionales 2015,Candidato|Financiador,5,52784885,1,2698500,1
Concejo,PARTIDO POLO DEMOCRATICO ALTERNATIVO,Persona Natural,META,GRANADA,Regionales 2015,Candidato|Financiador,2,44e6,1,15e4,1
Alcaldía,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,SUCRE,LA UNION,Regionales 2015,Candidato|Financiador,3,2012e6,1,1e7,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,TOLIMA,ESPINAL,Regionales 2015,Candidato|Financiador,7,93595e3,2,7e5,1
NA,NA,Persona Natural,META,VILLAVICENCIO,Regionales 2015,Financiador,5,2889e4,2,2e6,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CUNDINAMARCA,GUADUAS,Regionales 2015,Candidato|Financiador,6,77902085,1,2e5,1
Alcaldía,COALICION PROGRAMATICA Y POLITICA PARTIDO DE LA U - PARTIDO LIBERAL,Persona Natural,CORDOBA,TUCHIN,Regionales 2015,Candidato|Financiador,3,91853332,1,4305e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,CORDOBA,SAN ANDRES DE SOTAVENTO,Regionales 2015,Candidato|Financiador,2,51e5,1,48e5,1
NA,NA,Persona Natural,TOLIMA,CARMEN DE APICALA,Regionales 2015,Financiador,5,35183694,1,3e6,1
Concejo,PARTIDO POLO DEMOCRATICO ALTERNATIVO,Persona Natural,TOLIMA,CARMEN DE APICALA,Regionales 2015,Candidato|Financiador,2,72e5,1,1e5,1
NA,NA,Persona Natural,CORDOBA,SAN ANDRES DE SOTAVENTO,Regionales 2015,Financiador,2,60626050,1,1e7,1
NA,NA,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Regionales 2015,Financiador,2,80083115,1,5e5,1
NA,NA,Persona Natural,CORDOBA,CHINU,Regionales 2015,Financiador,14,12664899254,2,2e7,2
NA,NA,Persona Natural,VALLE,CALI,Regionales 2015,Financiador,5,8262e4,1,8e6,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,VALLE,FLORIDA,Regionales 2015,Candidato|Financiador,2,38357142,1,2e6,1
Concejo,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,Persona Natural,VALLE,CANDELARIA,Regionales 2015,Candidato|Financiador,3,382e5,2,35e5,1
NA,NA,Persona Natural,VALLE,CALI,Regionales 2015,Financiador,4,346e5,1,8e6,1
NA,NA,Persona Natural,VALLE,CALI,Regionales 2015,Financiador,18,269554666,1,2e7,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,VALLE,EL DOVIO,Regionales 2015,Candidato|Financiador,2,73e5,1,365e3,1
NA,NA,Persona Natural,VALLE,CALI,Regionales 2015,Financiador,7,347e5,1,2155500,1
NA,NA,Persona Natural,CORDOBA,CHIMA,Regionales 2015,Financiador,2,394e5,1,2e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CORDOBA,CHIMA,Regionales 2015,Candidato|Financiador,2,103e5,1,5e6,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,ANTIOQUIA,NECOCLI,Regionales 2015,Candidato|Financiador,2,10795e3,1,13e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,TOLIMA,ATACO,Regionales 2015,Candidato|Financiador,4,18e6,1,15e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,TOLIMA,GUAMO,Regionales 2015,Candidato|Financiador,2,81e5,1,16e5,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,TOLIMA,ALPUJARRA,Regionales 2015,Candidato|Financiador,3,104e5,1,25e4,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,TOLIMA,ALPUJARRA,Regionales 2015,Candidato|Financiador,5,187e5,1,175e3,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,TOLIMA,COELLO,Regionales 2015,Candidato|Financiador,6,477e5,1,1085300,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,TOLIMA,FRESNO,Regionales 2015,Candidato|Financiador,3,12e6,1,12e4,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,TOLIMA,NATAGAIMA,Regionales 2015,Candidato|Financiador,2,855e4,1,276700,1
Alcaldía,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,TOLIMA,ANZOATEGUI,Regionales 2015,Candidato|Financiador,3,372e5,3,17375200,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,TOLIMA,ORTEGA,Regionales 2015,Candidato|Financiador,32,169326837,1,707400,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,TOLIMA,SAN ANTONIO,Regionales 2015,Candidato|Financiador,2,66e5,1,5e4,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,TOLIMA,GUAMO,Regionales 2015,Candidato|Financiador,4,174e5,1,38e4,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,12,151936666,2,172e4,1
Concejo,LA ROSITA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Candidato|Financiador,2,20628333,1,22e5,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,7,119283703,6,85e4,6
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,5,8813e4,1,506e3,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Congreso 2018,Financiador,139,5705875825,3,64e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,TOLIMA,ALVARADO,Regionales 2015,Candidato|Financiador,13,154060700,1,2e6,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,11,101531204,1,23e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Candidato|Financiador,4,82146800,1,3608e3,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,CASANARE,YOPAL,Regionales 2015,Candidato|Financiador,5,444e5,1,909367,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,5,119967859,1,5e6,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,TOLIMA,ROVIRA,Regionales 2015,Candidato|Financiador,6,26261500,1,5e5,1
NA,NA,Persona Natural,PUTUMAYO,PUERTO ASIS,Regionales 2015,Financiador,2,55903610,1,16e5,1
NA,NA,Persona Natural,TOLIMA,ROVIRA,Regionales 2015,Financiador,3,167e5,1,9e5,1
NA,NA,Persona Natural,TOLIMA,IBAGUE,Regionales 2015,Financiador,3,152e5,1,81e4,1
